Income_level,Single_no_children,Married_no_children,Single_one_child,Married_one_child,Single_two_children,Married_two_children,Single_three_children,Married_three_children
1,0.0765,0.0765,0.34,0.34,0.4,0.4,0.45,0.45
2,0.153,0.153,0.68,0.68,0.8,0.8,0.9,0.9
3,0.2295,0.2295,1.02,1.02,1.2,1.2,1.35,1.35
4,0.306,0.306,1.36,1.36,1.6,1.6,1.8,1.8
5,0.3825,0.3825,1.7,1.7,2,2,2.25,2.25
6,0.459,0.459,2.04,2.04,2.4,2.4,2.7,2.7
7,0.5355,0.5355,2.38,2.38,2.8,2.8,3.15,3.15
8,0.612,0.612,2.72,2.72,3.2,3.2,3.6,3.6
9,0.6885,0.6885,3.06,3.06,3.6,3.6,4.05,4.05
10,0.765,0.765,3.4,3.4,4,4,4.5,4.5
11,0.8415,0.8415,3.74,3.74,4.4,4.4,4.95,4.95
12,0.918,0.918,4.08,4.08,4.8,4.8,5.4,5.4
13,0.9945,0.9945,4.42,4.42,5.2,5.2,5.85,5.85
14,1.071,1.071,4.76,4.76,5.6,5.6,6.3,6.3
15,1.1475,1.1475,5.1,5.1,6,6,6.75,6.75
16,1.224,1.224,5.44,5.44,6.4,6.4,7.2,7.2
17,1.3005,1.3005,5.78,5.78,6.8,6.8,7.65,7.65
18,1.377,1.377,6.12,6.12,7.2,7.2,8.1,8.1
19,1.4535,1.4535,6.46,6.46,7.6,7.6,8.55,8.55
20,1.53,1.53,6.8,6.8,8,8,9,9
21,1.6065,1.6065,7.14,7.14,8.4,8.4,9.45,9.45
22,1.683,1.683,7.48,7.48,8.8,8.8,9.9,9.9
23,1.7595,1.7595,7.82,7.82,9.2,9.2,10.35,10.35
24,1.836,1.836,8.16,8.16,9.6,9.6,10.8,10.8
25,1.9125,1.9125,8.5,8.5,10,10,11.25,11.25
26,1.989,1.989,8.84,8.84,10.4,10.4,11.7,11.7
27,2.0655,2.0655,9.18,9.18,10.8,10.8,12.15,12.15
28,2.142,2.142,9.52,9.52,11.2,11.2,12.6,12.6
29,2.2185,2.2185,9.86,9.86,11.6,11.6,13.05,13.05
30,2.295,2.295,10.2,10.2,12,12,13.5,13.5
31,2.3715,2.3715,10.54,10.54,12.4,12.4,13.95,13.95
32,2.448,2.448,10.88,10.88,12.8,12.8,14.4,14.4
33,2.5245,2.5245,11.22,11.22,13.2,13.2,14.85,14.85
34,2.601,2.601,11.56,11.56,13.6,13.6,15.3,15.3
35,2.6775,2.6775,11.9,11.9,14,14,15.75,15.75
36,2.754,2.754,12.24,12.24,14.4,14.4,16.2,16.2
37,2.8305,2.8305,12.58,12.58,14.8,14.8,16.65,16.65
38,2.907,2.907,12.92,12.92,15.2,15.2,17.1,17.1
39,2.9835,2.9835,13.26,13.26,15.6,15.6,17.55,17.55
40,3.06,3.06,13.6,13.6,16,16,18,18
41,3.1365,3.1365,13.94,13.94,16.4,16.4,18.45,18.45
42,3.213,3.213,14.28,14.28,16.8,16.8,18.9,18.9
43,3.2895,3.2895,14.62,14.62,17.2,17.2,19.35,19.35
44,3.366,3.366,14.96,14.96,17.6,17.6,19.8,19.8
45,3.4425,3.4425,15.3,15.3,18,18,20.25,20.25
46,3.519,3.519,15.64,15.64,18.4,18.4,20.7,20.7
47,3.5955,3.5955,15.98,15.98,18.8,18.8,21.15,21.15
48,3.672,3.672,16.32,16.32,19.2,19.2,21.6,21.6
49,3.7485,3.7485,16.66,16.66,19.6,19.6,22.05,22.05
50,3.825,3.825,17,17,20,20,22.5,22.5
51,3.9015,3.9015,17.34,17.34,20.4,20.4,22.95,22.95
52,3.978,3.978,17.68,17.68,20.8,20.8,23.4,23.4
53,4.0545,4.0545,18.02,18.02,21.2,21.2,23.85,23.85
54,4.131,4.131,18.36,18.36,21.6,21.6,24.3,24.3
55,4.2075,4.2075,18.7,18.7,22,22,24.75,24.75
56,4.284,4.284,19.04,19.04,22.4,22.4,25.2,25.2
57,4.3605,4.3605,19.38,19.38,22.8,22.8,25.65,25.65
58,4.437,4.437,19.72,19.72,23.2,23.2,26.1,26.1
59,4.5135,4.5135,20.06,20.06,23.6,23.6,26.55,26.55
60,4.59,4.59,20.4,20.4,24,24,27,27
61,4.6665,4.6665,20.74,20.74,24.4,24.4,27.45,27.45
62,4.743,4.743,21.08,21.08,24.8,24.8,27.9,27.9
63,4.8195,4.8195,21.42,21.42,25.2,25.2,28.35,28.35
64,4.896,4.896,21.76,21.76,25.6,25.6,28.8,28.8
65,4.9725,4.9725,22.1,22.1,26,26,29.25,29.25
66,5.049,5.049,22.44,22.44,26.4,26.4,29.7,29.7
67,5.1255,5.1255,22.78,22.78,26.8,26.8,30.15,30.15
68,5.202,5.202,23.12,23.12,27.2,27.2,30.6,30.6
69,5.2785,5.2785,23.46,23.46,27.6,27.6,31.05,31.05
70,5.355,5.355,23.8,23.8,28,28,31.5,31.5
71,5.4315,5.4315,24.14,24.14,28.4,28.4,31.95,31.95
72,5.508,5.508,24.48,24.48,28.8,28.8,32.4,32.4
73,5.5845,5.5845,24.82,24.82,29.2,29.2,32.85,32.85
74,5.661,5.661,25.16,25.16,29.6,29.6,33.3,33.3
75,5.7375,5.7375,25.5,25.5,30,30,33.75,33.75
76,5.814,5.814,25.84,25.84,30.4,30.4,34.2,34.2
77,5.8905,5.8905,26.18,26.18,30.8,30.8,34.65,34.65
78,5.967,5.967,26.52,26.52,31.2,31.2,35.1,35.1
79,6.0435,6.0435,26.86,26.86,31.6,31.6,35.55,35.55
80,6.12,6.12,27.2,27.2,32,32,36,36
81,6.1965,6.1965,27.54,27.54,32.4,32.4,36.45,36.45
82,6.273,6.273,27.88,27.88,32.8,32.8,36.9,36.9
83,6.3495,6.3495,28.22,28.22,33.2,33.2,37.35,37.35
84,6.426,6.426,28.56,28.56,33.6,33.6,37.8,37.8
85,6.5025,6.5025,28.9,28.9,34,34,38.25,38.25
86,6.579,6.579,29.24,29.24,34.4,34.4,38.7,38.7
87,6.6555,6.6555,29.58,29.58,34.8,34.8,39.15,39.15
88,6.732,6.732,29.92,29.92,35.2,35.2,39.6,39.6
89,6.8085,6.8085,30.26,30.26,35.6,35.6,40.05,40.05
90,6.885,6.885,30.6,30.6,36,36,40.5,40.5
91,6.9615,6.9615,30.94,30.94,36.4,36.4,40.95,40.95
92,7.038,7.038,31.28,31.28,36.8,36.8,41.4,41.4
93,7.1145,7.1145,31.62,31.62,37.2,37.2,41.85,41.85
94,7.191,7.191,31.96,31.96,37.6,37.6,42.3,42.3
95,7.2675,7.2675,32.3,32.3,38,38,42.75,42.75
96,7.344,7.344,32.64,32.64,38.4,38.4,43.2,43.2
97,7.4205,7.4205,32.98,32.98,38.8,38.8,43.65,43.65
98,7.497,7.497,33.32,33.32,39.2,39.2,44.1,44.1
99,7.5735,7.5735,33.66,33.66,39.6,39.6,44.55,44.55
100,7.65,7.65,34,34,40,40,45,45
101,7.7265,7.7265,34.34,34.34,40.4,40.4,45.45,45.45
102,7.803,7.803,34.68,34.68,40.8,40.8,45.9,45.9
103,7.8795,7.8795,35.02,35.02,41.2,41.2,46.35,46.35
104,7.956,7.956,35.36,35.36,41.6,41.6,46.8,46.8
105,8.0325,8.0325,35.7,35.7,42,42,47.25,47.25
106,8.109,8.109,36.04,36.04,42.4,42.4,47.7,47.7
107,8.1855,8.1855,36.38,36.38,42.8,42.8,48.15,48.15
108,8.262,8.262,36.72,36.72,43.2,43.2,48.6,48.6
109,8.3385,8.3385,37.06,37.06,43.6,43.6,49.05,49.05
110,8.415,8.415,37.4,37.4,44,44,49.5,49.5
111,8.4915,8.4915,37.74,37.74,44.4,44.4,49.95,49.95
112,8.568,8.568,38.08,38.08,44.8,44.8,50.4,50.4
113,8.6445,8.6445,38.42,38.42,45.2,45.2,50.85,50.85
114,8.721,8.721,38.76,38.76,45.6,45.6,51.3,51.3
115,8.7975,8.7975,39.1,39.1,46,46,51.75,51.75
116,8.874,8.874,39.44,39.44,46.4,46.4,52.2,52.2
117,8.9505,8.9505,39.78,39.78,46.8,46.8,52.65,52.65
118,9.027,9.027,40.12,40.12,47.2,47.2,53.1,53.1
